07-08 13:48:40.124 E/MessageQueue-JNI(28608): 	at android.os.Looper.loopOnce(Looper.java:196)
07-08 13:48:40.124 E/MessageQueue-JNI(28608): 	at android.os.Looper.loop(Looper.java:367)
07-08 13:48:40.124 E/MessageQueue-JNI(28608): 	at android.app.ActivityThread.main(ActivityThread.java:9333)
07-08 13:48:40.124 E/MessageQueue-JNI(28608): 	at java.lang.reflect.Method.invoke(Native Method)
07-08 13:48:40.124 E/MessageQueue-JNI(28608): 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:566)
07-08 13:48:40.124 E/MessageQueue-JNI(28608): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:929)
07-08 13:48:40.124 D/AndroidRuntime(28608): Shutting down VM
--------- beginning of crash
07-08 13:48:40.126 E/AndroidRuntime(28608): FATAL EXCEPTION: main
07-08 13:48:40.126 E/AndroidRuntime(28608): Process: dev.lincforge.benchtarget, PID: 28608
07-08 13:48:40.126 E/AndroidRuntime(28608): java.lang.IllegalStateException: export buffer not initialized
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at dev.lincforge.benchtarget.core.ExportPolicy.export(ExportPolicy.kt:11)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at dev.lincforge.benchtarget.ui.ScreensKt.DetailScreen$lambda$0$0$0(Screens.kt:90)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at dev.lincforge.benchtarget.ui.ScreensKt.$r8$lambda$gZSUvVQNwRksedsE-bpwFrlyFRQ(Screens.kt:0)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at dev.lincforge.benchtarget.ui.ScreensKt$$ExternalSyntheticLambda35.invoke(D8$$SyntheticClass:0)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at androidx.compose.foundation.ClickableNode.onPointerEvent-H0pRuoY(Clickable.kt:1009)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at androidx.compose.ui.input.pointer.Node.dispatchMainEventPass(HitPathTracker.kt:436)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at androidx.compose.ui.input.pointer.Node.dispatchMainEventPass(HitPathTracker.kt:422)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at androidx.compose.ui.input.pointer.NodeParent.dispatchMainEventPass(HitPathTracker.kt:275)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at androidx.compose.ui.input.pointer.HitPathTracker.dispatchChanges(HitPathTracker.kt:171)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at androidx.compose.ui.input.pointer.PointerInputEventProcessor.process-BIzXfog(PointerInputEventProcessor.kt:118)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at androidx.compose.ui.platform.AndroidComposeView.sendMotionEvent-8iAsVTc(AndroidComposeView.android.kt:2428)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at androidx.compose.ui.platform.AndroidComposeView.handleMotionEvent-8iAsVTc(AndroidComposeView.android.kt:2378)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at androidx.compose.ui.platform.AndroidComposeView.dispatchTouchEvent(AndroidComposeView.android.kt:2249)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:3143)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2826)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:3143)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2826)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:3143)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2826)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:3143)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2826)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at com.android.internal.policy.DecorView.superDispatchTouchEvent(DecorView.java:503)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at com.android.internal.policy.PhoneWindow.superDispatchTouchEvent(PhoneWindow.java:2017)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.app.Activity.dispatchTouchEvent(Activity.java:4666)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at com.android.internal.policy.DecorView.dispatchTouchEvent(DecorView.java:441)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.View.dispatchPointerEvent(View.java:17196)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$ViewPostImeInputStage.processPointerEvent(ViewRootImpl.java:8585)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$ViewPostImeInputStage.onProcess(ViewRootImpl.java:8335)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:7702)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:7759)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:7725)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:7896)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:7733)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$AsyncInputStage.apply(ViewRootImpl.java:7953)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:7706)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:7759)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:7725)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:7733)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:7706)
07-08 13:48:40.126 E/AndroidRuntime(28608): 	at android.view.ViewRootImpl.deliverInputEvent(ViewRootImpl.java:11033)
